,timestamp,raw_value,attention,delta
0,0,7,34,0.0
1,1,-17,34,0.012984037399291992
2,2,18,40,0.027745723724365234
3,3,-13,40,0.0311739444732666
4,4,-13,40,0.0311739444732666
5,5,0,40,0.06415796279907227
6,6,6,40,0.07000994682312012
7,7,21,40,0.08383584022521973
8,8,21,40,0.08383584022521973
9,9,21,40,0.08383584022521973
10,10,21,40,0.08383584022521973
11,11,6,40,0.13209295272827148
12,12,48,40,0.14237594604492188
13,13,39,40,0.15363693237304688
14,14,39,40,0.15363693237304688
15,15,39,40,0.15363693237304688
16,16,44,40,0.19329190254211426
17,17,85,40,0.20676708221435547
18,18,60,40,0.2132108211517334
19,19,60,40,0.2132108211517334
20,20,60,40,0.2132108211517334
21,21,75,40,0.2557995319366455
22,22,98,40,0.269305944442749
23,23,43,40,0.27938389778137207
24,24,44,40,0.29140710830688477
25,25,44,40,0.29140710830688477
26,26,40,40,0.3160109519958496
27,27,133,40,0.3309643268585205
28,28,69,40,0.3408939838409424
29,29,88,40,0.3563258647918701
30,30,100,40,0.36757349967956543
31,31,92,40,0.3785977363586426
32,32,84,40,0.38274168968200684
33,33,84,40,0.38274168968200684
34,34,84,40,0.38274168968200684
35,35,73,40,0.42832493782043457
36,36,59,40,0.4387528896331787
37,37,25,40,0.446155309677124
38,38,19,40,0.46476078033447266
39,39,74,40,0.47490572929382324
40,40,69,40,0.47806382179260254
41,41,54,40,0.49381089210510254
42,42,54,40,0.49381089210510254
43,43,54,40,0.49381089210510254
44,44,54,40,0.49381089210510254
45,45,24,40,0.5456027984619141
46,46,24,40,0.5456027984619141
47,47,24,40,0.5456027984619141
48,48,24,40,0.5456027984619141
49,49,76,40,0.594923734664917
50,50,36,40,0.6039681434631348
51,51,91,40,0.614520788192749
52,52,56,40,0.6279749870300293
53,53,12,40,0.6400349140167236
54,54,-8,40,0.654437780380249
55,55,312,40,0.6658740043640137
56,56,356,40,0.676288366317749
57,57,290,40,0.6908278465270996
58,58,275,40,0.7020189762115479
59,59,168,40,0.7135207653045654
60,60,58,40,0.7228338718414307
61,61,58,40,0.7228338718414307
62,62,8,40,0.7509660720825195
63,63,1,40,0.7655680179595947
64,64,6,40,0.7767488956451416
65,65,-53,40,0.7881090641021729
66,66,-74,40,0.799647331237793
67,67,-58,40,0.8106539249420166
68,68,-58,40,0.8106539249420166
69,69,-58,40,0.8106539249420166
70,70,-22,40,0.8496670722961426
71,71,56,40,0.8601789474487305
72,72,100,40,0.8714377880096436
73,73,4,40,0.8827109336853027
74,74,-20,40,0.8976941108703613
75,75,26,40,0.9080941677093506
76,76,84,40,0.9159879684448242
77,77,91,40,0.9297947883605957
78,78,-10,40,0.9410400390625
79,79,115,40,0.9521799087524414
80,80,59,40,0.9673628807067871
81,81,60,40,0.9787797927856445
82,82,25,40,0.9896368980407715
83,83,51,40,1.0009877681732178
84,84,93,40,1.0117599964141846
85,85,21,26,1.0267930030822754
86,86,51,26,1.0379557609558105
87,87,107,26,1.048058032989502
88,88,87,26,1.0615320205688477
89,89,48,26,1.075037956237793
90,90,86,26,1.0862998962402344
91,91,44,26,1.1011741161346436
92,92,43,26,1.1130547523498535
93,93,43,26,1.1130547523498535
94,94,43,26,1.1130547523498535
95,95,43,26,1.1130547523498535
96,96,71,26,1.162358045578003
97,97,152,26,1.1754770278930664
98,98,58,26,1.1880669593811035
99,99,20,26,1.195246934890747
100,100,35,26,1.2102689743041992
101,101,73,26,1.2209391593933105
102,102,45,26,1.2357637882232666
103,103,23,26,1.2466559410095215
104,104,91,26,1.2617745399475098
105,105,21,26,1.2728900909423828
106,106,59,26,1.2844009399414062
107,107,67,26,1.2955403327941895
108,108,65,26,1.3084559440612793
109,109,65,26,1.3084559440612793
110,110,83,26,1.332543134689331
111,111,112,26,1.342458963394165
112,112,108,26,1.3576209545135498
113,113,36,26,1.3684360980987549
114,114,38,26,1.3796207904815674
115,115,42,26,1.3912627696990967
116,116,40,26,1.4024019241333008
117,117,42,26,1.4073739051818848
118,118,42,26,1.4073739051818848
119,119,55,26,1.4407165050506592
120,120,137,26,1.4557111263275146
121,121,99,26,1.4667680263519287
122,122,42,26,1.4784190654754639
123,123,21,26,1.4932689666748047
124,124,12,26,1.5042428970336914
125,125,44,26,1.5159268379211426
126,126,26,26,1.5264599323272705
127,127,21,26,1.5372939109802246
128,128,101,26,1.5483307838439941
129,129,24,26,1.563342809677124
130,130,42,26,1.575010061264038
131,131,82,26,1.5860118865966797
132,132,80,26,1.5974719524383545
133,133,105,26,1.6127209663391113
134,134,70,26,1.6236591339111328
135,135,54,26,1.6358723640441895
136,136,74,26,1.6474831104278564
137,137,64,26,1.6629457473754883
138,138,82,26,1.6734240055084229
139,139,77,26,1.6849839687347412
140,140,107,26,1.7004449367523193
141,141,65,26,1.7086260318756104
142,142,65,26,1.7086260318756104
143,143,57,26,1.7362358570098877
144,144,73,26,1.7468798160552979
145,145,107,26,1.7582287788391113
146,146,80,26,1.7625107765197754
147,147,54,26,1.7793638706207275
148,148,98,26,1.7940449714660645
149,149,96,26,1.804898977279663
150,150,67,26,1.8196349143981934
151,151,53,26,1.831092119216919
152,152,4,26,1.8417789936065674
153,153,12,26,1.8533289432525635
154,154,51,26,1.8645298480987549
155,155,82,26,1.8792977333068848
156,156,67,26,1.8870511054992676
157,157,42,26,1.9024989604949951
158,158,39,26,1.914015293121338
159,159,41,26,1.9248967170715332
160,160,93,26,1.9399597644805908
161,161,57,26,1.9513359069824219
162,162,71,26,1.9621410369873047
163,163,55,26,1.973719835281372
